Feature	Gain	Cover	Frequency
Visa_mfinanciacion_limite	0.00296469222022329	0.00700030338365341	0.0077163569683544
canarito75	0.00295755860849176	0.0023719839300273	0.00325168991064971
canarito19	0.00294503033191137	0.0023578771653883	0.00349086850302675
canarito74	0.00293922376654648	0.00222016220940836	0.00330294246615908
canarito35	0.00290300703015811	0.00224755812072533	0.00334850029327851
canarito91	0.00289693787199699	0.00166977571320488	0.00287014310852444
ccaja_ahorro	0.0028840171219301	0.0151654308773714	0.00415145699625856
mcomisiones_mantenimiento	0.00288014321150144	0.00388076198807998	0.00256262777546825
canarito81	0.00285935126621072	0.00184595297108878	0.00302959550344246
canarito79	0.00283245461224755	0.0017591136075789	0.00297264821954317
canarito66	0.00280221354974346	0.00366792724000636	0.00303529023183239
canarito27	0.00279606188154766	0.00168359870959902	0.00298403767632303
canarito45	0.00274604088622825	0.00183399302455974	0.00302959550344246
canarito92	0.00271887380417498	0.00180222696807959	0.00281889055301507
Master_msaldopesos	0.00234552694533428	0.0047770859551742	0.00622433813019288
ccajas_consultas	0.00225949203683747	0.00568986733854537	0.00121297714705497
ccaja_seguridad	0.00222668204088087	0.00418682117065381	0.000985188011457794
ctarjeta_debito_transacciones	0.00209535012679842	0.0131221813252421	0.0244019111508477
mttarjeta_visa_debitos_automaticos	0.0019138008637564	0.00317702130854291	0.00319474262675042
Visa_mconsumospesos	0.00189280788642172	0.0027974347476277	0.00577445458738846
ccomisiones_otras	0.00175523725513656	0.00636016675832181	0.0106719210027278
mpagomiscuentas	0.00174081572386213	0.00387471778156084	0.00409450971235927
ctarjeta_master	0.00172084903334663	0.000318645474705691	0.00030751533305619
Visa_mlimitecompra	0.0017195943509928	0.00515389592660305	0.0039464467742211
thomebanking	0.00161124914710741	0.00161575697347544	0.000899767085608852
Visa_cconsumos	0.00153297569426519	0.00219409264342901	0.00463550890940257
mcaja_ahorro_dolares	0.00137506067946935	0.00133208008258467	0.00251706994834881
internet	0.00136465728832249	0.000984859659488326	0.000540999197043297
Master_mlimitecompra	0.00130801001462514	0.00327296295245409	0.00346808958946703
Master_msaldototal	0.00125881262266957	0.0036598943719242	0.00597946480942592
mtransferencias_emitidas	0.00120925731762886	0.00301367300175277	0.00357628942887569
ctransferencias_recibidas	0.00119544159179909	0.00669681010549079	0.0021469126030034
tmobile_app	0.00112046205662615	0.00569006089475262	0.000962409097898076
Master_mconsumospesos	0.00111833763773708	0.00753664249529328	0.00583709659967768
Master_mpagospesos	0.00109440126887172	0.00329166253753895	0.002824585281405
Visa_mconsumototal	0.00106772637663197	0.00102456323335267	0.00247151212122938
ctarjeta_master_transacciones	0.00105275745340777	0.000648032462470572	0.000882682900439064
Master_cconsumos	0.00103924188066894	0.00203917402349402	0.00255123831868839
mextraccion_autoservicio	0.000976261506750179	0.00178607901334935	0.00335988975005837
ccajas_otras	0.000958076233303882	0.00355294685942593	0.00060933593772245
Master_mpagominimo	0.000871064787030331	0.00190942684589823	0.0017027237885889
ctarjeta_visa_debitos_automaticos	0.00086916397010658	0.00249462833706781	0.00211274423266382
Visa_mpagado	0.000824266096385954	0.000845196580266059	0.00114464040637582
ccajas_transacciones	0.000803720220489218	0.00127669046246108	0.000797261974590122
Visa_fultimo_cierre	0.000652365041602577	0.000477994761803779	0.000592251752552662
cplazo_fijo	0.000621359666197054	0.00751673304117252	0.000700451591961321
Visa_mconsumosdolares	0.000564587405148978	0.00172652936217546	0.00183939726994721
ctarjeta_debito	0.000558657390045334	0.00132805936632661	0.00124145078900462
cmobile_app_trx	0.000547058706389756	0.000518011222988407	0.000734619962300898
matm_other	0.000507923657168565	0.00118482092141165	0.00081434615975991
ctransferencias_emitidas	0.000505547826160638	0.00221067338755482	0.00176536580087813
matm	0.000505196990030002	0.000695116865512411	0.00120728241866504
mplazo_fijo_dolares	0.000491721212276694	0.0021038012420753	0.000654893764841886
cextraccion_autoservicio	0.00046776553372107	0.000941804537138493	0.00186217618350693
Master_mpagosdolares	0.000431250576374809	0.000315760973351573	0.000876988172049134
Master_mconsumototal	0.000407499519194929	0.00267294213574093	0.00193620765257601
ccuenta_debitos_automaticos	0.000402041951560761	0.00139355444754809	0.00284166946657479
Master_fultimo_cierre	0.000375108029968165	0.000457906596494605	0.00060933593772245
Visa_msaldodolares	0.000352340813701771	0.00190311257422856	0.000842819801709558
mprestamos_prendarios	0.000315593345977296	0.00526389466143632	0.000427104629244708
Master_mconsumosdolares	0.000311051089817446	0.000357851169476453	0.00060933593772245
cpagomiscuentas	0.00029079471567518	0.00130157813655543	0.00251137521995888
mcheques_depositados	0.000257299218876554	0.0034728077380757	0.000523915011873509
Visa_mpagosdolares	0.000216803102311399	0.000878589308234312	0.000785872517810263
ccajas_depositos	0.000216414061228573	0.000795337871586916	0.00030751533305619
catm_trx	0.000191922498877568	0.000334819122737779	0.000523915011873509
mtarjeta_master_descuentos	0.000165823644207866	0.00139277451309644	0.000353073160175625
mttarjeta_master_debitos_automaticos	0.000137599106881877	0.000683103248530621	0.00030751533305619
Visa_Finiciomora	0.000109885755899222	0.00073205926587151	0.000210704950427389
Master_mpagado	0.000103788444249409	0.000644576998853168	0.000358767888565555
