fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 080344	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	652	TRUE	671017	0.00523029506538759	0.463374728538143	860	236	8172	27180000	58
20221019 080849	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	787	TRUE	671017	0.00604716642019456	0.872324619967965	1015	1012	7058	27730000	59
20221019 081309	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	822	TRUE	671017	0.0052228257652146	0.820877629085102	1001	1020	6684	26960000	60
20221019 081810	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1045	TRUE	671017	0.00520751361878971	0.905604951076153	875	840	7115	26810000	61
20221019 082211	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	773	TRUE	671017	0.0050080081493503	0.90597024017447	1183	1024	7280	26960000	62
20221019 082234	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	27	TRUE	671017	0.180615709252986	0.801053198034807	817	1024	6993	25220000	63
20221019 082859	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2097	TRUE	671017	0.00500323824986783	0.208016407847864	1144	643	9558	26570000	64
20221019 083250	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	772	TRUE	671017	0.00531640669751174	0.858808570934818	1220	1024	6989	27230000	65
20221019 083518	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	380	TRUE	671017	0.00950863504137499	0.868886612682172	880	823	8141	2.7e+07	66
20221019 083733	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	115	TRUE	671017	0.0179382703992586	0.878668740749155	201	1018	7074	26900000	67
20221019 084002	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	551	TRUE	671017	0.0104985057571054	0.672747351619671	982	369	7126	27270000	68
20221019 084046	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	106	TRUE	671017	0.0477618190057331	0.490876197268069	1003	969	7201	26800000	69
20221019 084113	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	129	TRUE	671017	0.149629051175733	0.262297584196978	2396	951	7880	25760000	70
20221019 084539	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	903	TRUE	671017	0.00832125626514901	0.525867772419808	763	973	9051	27020000	71
20221019 084825	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	736	TRUE	671017	0.0126120248257358	0.467611502506601	2034	313	9342	26120000	72
20221019 085222	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	756	TRUE	671017	0.00500371456978441	0.562664080940772	325	62	6998	27050000	73
20221019 085633	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1119	TRUE	671017	0.00517781144030653	0.702219818203768	1626	301	6951	27060000	74
20221019 085927	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	377	TRUE	671017	0.00585962234570316	0.648666836442554	93	114	5003	25440000	75
20221019 090425	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1843	TRUE	671017	0.0052694982317312	0.200250715874366	3167	897	7385	26110000	76
