fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 000750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	102191	0.0808896792207028	0.773664083136201	897	1022	11413	26140000	67
20221019 000855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	102191	0.0256160578689464	0.201467021235055	436	580	8326	27270000	68
20221019 000938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	102191	0.0692446556411149	0.727411199732556	892	925	6514	26100000	69
20221019 001022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	102191	0.0622584748203191	0.76934647828599	457	818	7448	27110000	70
20221019 001121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	102191	0.0283399855568402	0.247726359104977	789	401	6658	26770000	71
20221019 001519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	796	TRUE	102191	0.00506252174902165	0.980158870952253	1268	663	7038	26970000	72
20221019 001555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	102191	0.0893588492673508	0.77881239073795	714	795	8557	26810000	73
20221019 001622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	102191	0.0722263546726231	0.76012353644846	2020	782	8251	26780000	74
20221019 002735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1970	TRUE	102191	0.00651091096913396	0.225503844026422	0	711	7862	26440000	75
20221019 003226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1324	TRUE	102191	0.0119745575422536	0.200199440002161	9	280	7428	26590000	76
20221019 003258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	102191	0.0626091832700837	0.200039735734881	650	766	6617	26930000	77
20221019 003343	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	102191	0.0749222934515508	0.530975456662465	738	721	7866	27150000	78
20221019 003437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	102191	0.045868989213101	0.492454926956783	556	577	7362	26880000	79
20221019 003533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	102191	0.0744507511013247	0.566802618052077	15	502	7598	25210000	80
20221019 003621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	102191	0.0428472697143291	0.515871992979362	1543	821	8916	27290000	81
20221019 003709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	195	TRUE	102191	0.0661254003901501	0.509348937391839	1795	760	5475	25370000	82
20221019 003815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	102191	0.0355551896490035	0.524820750684407	480	779	10727	26790000	83
20221019 004037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	532	TRUE	102191	0.0120585123450822	0.30355123034608	1033	854	8875	27130000	84
20221019 004125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	102191	0.0361206842203738	0.65229292168618	1006	845	8467	26990000	85
20221019 004504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	703	TRUE	102191	0.00539977842985098	0.758727322190732	1192	479	8026	26990000	86
20221019 004732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	413	TRUE	102191	0.00947519996162063	0.409477270216932	1043	649	8803	26960000	87
20221019 004827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	102191	0.0283316926902231	0.944497344662039	1146	645	9303	27560000	88
20221019 005024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	606	TRUE	102191	0.0221440973667823	0.932768406938636	1470	755	9161	27040000	89
20221019 005124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	102191	0.038380345907938	0.373428564129013	1132	670	9737	27010000	90
20221019 005223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	102191	0.0267584036972918	0.876429277060785	721	621	9044	27280000	91
20221019 005308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	102191	0.0543354943173466	0.229700637200988	2215	794	9639	26170000	92
20221019 005407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	244	TRUE	102191	0.0293720011680447	0.761800062973543	1340	568	10581	26600000	93
20221019 005833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1173	TRUE	102191	0.00657296359336405	0.324944929754105	1135	569	8149	27310000	94
20221019 005917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	102191	0.0894893955546766	0.477799114601966	973	704	9114	26660000	95
20221019 010415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	827	TRUE	102191	0.00531976208622345	0.53854667656552	954	912	8470	27140000	96
20221019 010933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1998	TRUE	102191	0.00529273121452415	0.870712590220719	2611	239	9146	26430000	97
20221019 011741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2446	TRUE	102191	0.00534074232943761	0.352131523204738	1019	1009	8163	27360000	98
20221019 012254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1172	TRUE	102191	0.00617223760718543	0.350089645631291	709	815	7812	27020000	99
20221019 012337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	102191	0.0453309494795552	0.996816221429342	1030	664	8505	26910000	100
20221019 012438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	102191	0.0437907293266036	0.324462828627375	1239	1024	8052	27660000	101
20221019 012619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	548	TRUE	102191	0.0216568964311207	0.330286350391756	2286	1023	7675	26890000	102
20221019 012659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	102191	0.0495077941533155	0.327664930340837	467	1024	8876	26970000	103
20221019 012736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	102191	0.0758756059007451	0.532721893803868	1181	1022	8955	26730000	104
20221019 012852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	102191	0.0413486983453748	0.305211673825437	1176	1018	6412	26780000	105
20221019 012939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	102191	0.0463263555815211	0.338980346227479	1404	941	8383	26920000	106
20221019 013027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	102191	0.043180615600777	0.309801991125188	1128	940	12974	24620000	107
20221019 013428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1624	TRUE	102191	0.00515135179677753	0.935612912472408	5790	90	7404	25600000	108
20221019 013505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	102191	0.103510559377154	0.946929873507881	1048	601	9689	26310000	109
20221019 013555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	102191	0.0405121083863379	0.318606683746485	2185	1024	8458	27410000	110
20221019 013629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	102191	0.0738349766447063	0.496016545150044	2748	619	8692	26780000	111
20221019 013814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	102191	0.030128582356466	0.999103309933104	354	996	8925	26550000	112
20221019 013906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	102191	0.0396578208912432	0.75321627052724	1478	1024	8768	27030000	113
20221019 014000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	102191	0.030386657769074	0.477165351162483	1048	100	7979	26930000	114
20221019 014107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	102191	0.0284248900674479	0.30239830505308	1454	1024	8809	27190000	115
20221019 014154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	102191	0.0479196590566134	0.320623064417116	1461	1024	8556	27370000	116
20221019 014249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	227	TRUE	102191	0.0295648006881707	0.288332508457067	304	59	9224	27080000	117
20221019 014355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	415	TRUE	102191	0.0419019674226198	0.680933946348183	2522	713	8126	26790000	118
20221019 014419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	102191	0.0961549357673777	0.860597437984876	2594	443	8232	27060000	119
20221019 014459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	244	TRUE	102191	0.051178646057262	0.776397231429715	5804	1023	8704	25960000	120
