fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 223732	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	90	TRUE	671017	0.156800123933429	0.999184800838245	4260	1022	8823	25640000	23
20221018 223801	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	76	TRUE	671017	0.0861747396740902	0.724958230995831	2814	733	7825	26670000	24
20221018 223815	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	32	TRUE	671017	0.296651321408466	0.68664650281805	2914	798	7688	25590000	25
20221018 223903	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	193	TRUE	671017	0.0372212833800842	0.840181250256639	2754	668	8172	26140000	26
20221018 223927	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	91	TRUE	671017	0.103197632070431	0.644538209252339	3509	744	8206	26310000	27
20221018 224006	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	219	TRUE	671017	0.107648812100308	0.76963276092154	2962	1001	7659	26210000	28
20221018 224601	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1251	TRUE	671017	0.00500707012461366	0.51610482610623	2925	823	7380	26440000	29
20221018 224655	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	201	TRUE	671017	0.069366016481775	0.577290545393775	3028	780	7680	26400000	30
20221018 224901	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	610	TRUE	671017	0.0117918602824427	0.719076156616059	3250	727	7536	26290000	31
20221018 224933	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	83	TRUE	671017	0.0915844163615794	0.697634483837074	2633	449	7761	26960000	32
20221018 224953	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	53	TRUE	671017	0.0937633958211378	0.804813698208463	2819	295	7779	25570000	33
20221018 225135	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	458	TRUE	671017	0.0402051615056809	0.53518641555201	2331	485	7775	26450000	34
20221018 225159	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	102	TRUE	671017	0.149061040291733	0.681637454534974	2900	474	7322	26080000	35
20221018 225339	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	548	TRUE	671017	0.0234727526651044	0.67589937465993	2547	711	8238	26730000	36
20221018 225406	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	65	TRUE	671017	0.0780131531916047	0.618098581110625	2615	659	7522	26320000	37
20221018 225447	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	237	TRUE	671017	0.0520704289671158	0.695442982567381	5183	439	8071	25940000	38
20221018 230101	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	812	TRUE	671017	0.00547110387435245	0.53182541078385	1426	974	8121	27040000	39
20221018 230645	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1415	TRUE	671017	0.00519884211505239	0.360813085231785	2745	945	8234	26260000	40
20221018 231039	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	522	TRUE	671017	0.00995436486635148	0.663344624996546	922	900	8002	27120000	41
20221018 231058	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	92	TRUE	671017	0.242799850591018	0.9809505897088	6861	556	8211	25660000	42
20221018 231240	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	435	TRUE	671017	0.0190210953488679	0.658556768117461	1670	1018	7984	26920000	43
20221018 231956	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	958	TRUE	671017	0.00502648281800644	0.584248447512521	533	846	8133	26860000	44
20221018 232755	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2530	TRUE	671017	0.00547384460581482	0.642476422194401	1670	908	7993	26980000	45
20221018 233012	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	329	TRUE	671017	0.0292904089189982	0.693806714164803	955	933	8257	27330000	46
20221018 233224	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	465	TRUE	671017	0.0178636137343878	0.687241981815477	930	964	8660	26920000	47
20221018 233315	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	184	TRUE	671017	0.0577679736605553	0.694703184666089	1117	911	8177	27010000	48
